"ORIGINAL";"ADDR_POSTCODE";"ADDR_CITY";"ADDR_STREET";"ADDR_HOUSENUMBER";"ADDR_CONSCRIPTIONNUMBER";"CHECK_STREET"
"1214 Budapest II.Rákóczi F.út 195-197.";"1214";"Budapest";"II. Rákóczi Ferenc út";"195-197";"";"OK"
"2475 Kápolnásnyék, 7 főút, 43. km 0107/2 hrsz.";"2475";"Kápolnásnyék";"7-es főút";"43. km";"0107/2";"FOUT"
"2764 Tápióbicske, Új út 1.";"2764";"Tápióbicske";"Új út";"1";"";"OK"
"3015 Csány, Hatvani út 2/A.";"3015";"Csány";"Hatvani út";"2/A";"";"OK"
"4562 Vaja, Rohodi u. 2.";"4562";"Vaja";"Rohodi utca";"2";"";"OK"
"5100 Jászberény, Nagykátai út 3.";"5100";"Jászberény";"Nagykátai út";"3";"";"OK"
"6050 Lajosmizse, Belterület 1874/2.";"6050";"Lajosmizse";"";"";"1874/2";"KT"
"6400 Kiskunhalas, Tinódi u. 21.";"6400";"Kiskunhalas";"Tinódi utca";"21";"";"OK"
"8347 Zalagyömörő, Rákóczi u. 184/7.";"8349";"Zalagyömörő";"Rákóczi Ferenc utca";"184/7";"";"OK"
"9919 Csákánydoroszló, Vasút u. 70.";"9919";"Csákánydoroszló";"Vasút utca";"70";"";"OK"
"9941 Őriszentpéter, Városszer 22.";"9941";"Őriszentpéter";"Városszer";"22";"";"OK"
"6500 Baja, Bajcsy-Zs. u. 56.";"6500";"Baja";"Bajcsy-Zsilinszky Endre utca";"56";"";"OK"
"8683 Somogytúr, HRSZ: 09/4.";"8683";"Somogytúr";"";"";"09/4";"KT"
"8700 Marcali, Berzsenyi út 97.";"8700";"Marcali";"Berzsenyi utca";"97";"";"OK"
"9735 Csepreg, 020/38 hrsz. Szakony felé";"9735";"Csepreg";"";"";"020/38";"KT"
"Enying, Dózsa Gy. út 119.";"8130";"Enying";"Dózsa György utca";"119";"";"OK"
"3200 Gyöngyös, Szurdokpart út 78.";"3200";"Gyöngyös";"Szurdokpart út";"78";"";"OK"
"3849 Forró, Széchenyi u. 1.";"3849";"Forró";"Széchenyi István utca";"1";"";"OK"
"4242 Hajdúhadház, Földi János u. 56.";"4242";"Hajdúhadház";"Dr. Földi János utca";"56";"";"OK"
"5126 Jászfényszaru, külterület 05/150 hrsz.";"5126";"Jászfényszaru";"";"";"05/150";"KT"
"6728 Szeged, Fonógyári út 14.";"6728";"Szeged";"Fonógyári út";"14";"";"OK"
"6763 Szatymaz, IV. kerület 130. Hrsz.: 0261/4.";"6763";"Szatymaz";"IV. kerület";"130";"0261/4";"NINCS"
"7694 Hosszúhetény, Széchenyi u. 40.";"7694";"Hosszúhetény";"Széchenyi utca";"40";"";"OK"
"8154 Polgárdi HRSZ 05/9";"8154";"Polgárdi";"";"";"05/9";"KT"
"9154 Mosonszentmiklós, Béke út 15.";"9183";"Mosonszentmiklós";"Béke utca";"15";"";"OK"
